date,open,high,low,close,volume
2024-05-13 00:00:00+05:30,1000,1000,999,999,52
2024-05-15 00:00:00+05:30,1000,1000,1000,1000,10
2024-05-17 00:00:00+05:30,999,1000,999,1000,105
2024-05-21 00:00:00+05:30,999,999,999,999,20
