date,open,high,low,close,volume
2022-07-04 00:00:00+05:30,102.0,102.0,102.0,102.0,1000
2022-07-06 00:00:00+05:30,101.0,101.2,101.0,101.2,3100
2022-07-08 00:00:00+05:30,101.25,101.25,101.11,101.11,2600
2022-07-12 00:00:00+05:30,101.1,101.1,101.1,101.1,400
2022-07-13 00:00:00+05:30,101.5,101.5,101.0,101.1,16100
2022-07-18 00:00:00+05:30,100.05,100.75,100.0,100.0,30890
2022-07-25 00:00:00+05:30,101.1,101.1,101.1,101.1,1000
2022-07-26 00:00:00+05:30,101.1,101.1,101.1,101.1,500
2022-07-27 00:00:00+05:30,101.3,102.0,101.3,102.0,4200
2022-07-29 00:00:00+05:30,101.51,101.51,101.51,101.51,1000
2022-08-01 00:00:00+05:30,102.66,102.66,102.66,102.66,30000
2022-08-02 00:00:00+05:30,101.8,101.8,101.65,101.66,2230
2022-08-10 00:00:00+05:30,106.7,106.7,103.0,103.0,2502
2022-08-11 00:00:00+05:30,102.99,105.0,102.99,105.0,1600
2022-08-12 00:00:00+05:30,102.8,102.8,102.4,102.4,2
2022-08-16 00:00:00+05:30,102.4,102.4,102.4,102.4,2301
2022-08-17 00:00:00+05:30,102.4,102.5,102.25,102.5,3301
2022-08-18 00:00:00+05:30,102.75,102.75,102.75,102.75,3000
2022-08-23 00:00:00+05:30,102.75,102.75,102.75,102.75,100
2022-08-24 00:00:00+05:30,103.5,103.5,103.5,103.5,5100
2022-08-25 00:00:00+05:30,103.5,103.5,103.49,103.49,12001
2022-08-26 00:00:00+05:30,103.5,103.99,103.5,103.99,1500
2022-08-29 00:00:00+05:30,104.0,104.0,104.0,104.0,105
2022-08-30 00:00:00+05:30,103.95,103.99,103.95,103.99,19500
2022-09-01 00:00:00+05:30,103.89,103.89,103.5,103.69,14052
2022-09-02 00:00:00+05:30,103.49,103.49,103.0,103.0,2810
2022-09-06 00:00:00+05:30,103.8,103.8,103.8,103.8,2890
2022-09-07 00:00:00+05:30,103.75,103.95,103.25,103.72,1973
2022-09-08 00:00:00+05:30,103.7,104.0,103.7,103.89,52
2022-09-13 00:00:00+05:30,104.0,104.0,103.2,103.25,4400
2022-09-14 00:00:00+05:30,103.0,104.0,103.0,103.8,250
2022-09-16 00:00:00+05:30,103.1,103.1,102.5,102.5,1723
2022-09-20 00:00:00+05:30,102.5,102.5,102.5,102.5,201
2022-09-21 00:00:00+05:30,102.5,102.5,102.0,102.0,1000
2022-09-23 00:00:00+05:30,101.9,105.0,101.9,103.5,1155
2022-09-26 00:00:00+05:30,105.0,105.0,104.9,104.9,2
2022-09-27 00:00:00+05:30,103.5,103.5,103.4,103.4,2098
2022-09-28 00:00:00+05:30,100.0,103.5,100.0,103.5,1600
2022-09-29 00:00:00+05:30,103.5,103.5,103.5,103.5,1500
2022-09-30 00:00:00+05:30,103.5,103.5,103.5,103.5,265
2022-10-04 00:00:00+05:30,103.5,103.5,103.5,103.5,100
2022-10-06 00:00:00+05:30,103.0,103.0,103.0,103.0,610
2022-10-07 00:00:00+05:30,102.0,103.5,102.0,103.5,410
2022-10-10 00:00:00+05:30,103.0,103.0,103.0,103.0,16100
2022-10-11 00:00:00+05:30,103.0,103.25,103.0,103.0,4080
2022-10-12 00:00:00+05:30,102.51,104.0,102.51,103.9,6200
2022-10-13 00:00:00+05:30,103.45,103.45,102.51,102.66,3100
2022-10-14 00:00:00+05:30,102.66,104.5,102.6,104.5,46700
2022-10-17 00:00:00+05:30,104.5,104.5,102.61,102.65,10325
2022-10-18 00:00:00+05:30,103.0,103.0,102.22,103.0,5400
2022-10-19 00:00:00+05:30,102.15,103.32,102.15,103.32,600
2022-10-20 00:00:00+05:30,103.0,105.0,103.0,103.0,221
2022-10-21 00:00:00+05:30,103.0,104.9,103.0,103.0,601
2022-10-27 00:00:00+05:30,103.0,103.65,102.3,102.7,6201
2022-10-28 00:00:00+05:30,102.7,103.0,102.7,103.0,1299
2022-10-31 00:00:00+05:30,103.5,103.5,103.0,103.18,27920
2022-11-01 00:00:00+05:30,103.18,103.6,103.1,103.2,17356
2022-11-03 00:00:00+05:30,103.05,103.45,103.05,103.35,2600
2022-11-07 00:00:00+05:30,105.0,105.0,105.0,105.0,29
2022-11-09 00:00:00+05:30,105.0,105.0,103.5,105.0,1418
2022-11-10 00:00:00+05:30,104.0,104.95,104.0,104.94,700
2022-11-11 00:00:00+05:30,104.5,104.5,104.5,104.5,10
2022-11-14 00:00:00+05:30,104.5,104.5,104.0,104.0,3200
2022-11-15 00:00:00+05:30,104.25,104.25,104.1,104.12,3202
2022-11-16 00:00:00+05:30,104.2,104.49,104.2,104.46,11000
2022-11-17 00:00:00+05:30,104.46,104.75,104.2,104.56,3749
2022-11-18 00:00:00+05:30,104.5,104.5,104.1,104.37,17381
2022-11-21 00:00:00+05:30,104.3,104.3,104.3,104.3,100
2022-11-22 00:00:00+05:30,104.6,104.6,104.35,104.35,200
2022-11-24 00:00:00+05:30,104.45,104.45,104.45,104.45,200
2022-11-25 00:00:00+05:30,104.11,104.4,104.0,104.0,4400
2022-11-28 00:00:00+05:30,104.4,105.0,104.4,105.0,16990
2022-11-29 00:00:00+05:30,105.0,105.0,104.45,104.6,39718
